id,lang_id,menu_id,parent_id_lbl,lbl
/LSLhd0pQsG+yYgthrsS6Q,eYHRCo6WQFm4TBWYzAdERg,LiRTLUICQA2SRlJgYoNmnA,SystemManagement,Menu
0BylmbWxS+CMjwst0CYOJg,eYHRCo6WQFm4TBWYzAdERg,AE6NzvHDQ3CSMdhPlSHCdg,SystemManagement,User
20Db16EsQEueVctjQWYojw,eYHRCo6WQFm4TBWYzAdERg,5lhD4VfTQs2vzkZUx8U+ew,SystemManagement,Internationalization
2Dd4c7RlRzOlhsk0dg1TNw,eYHRCo6WQFm4TBWYzAdERg,ecLh8jMSQgi3N1qWaWgdsA,SystemManagement,OperationRecord
2bla1NlaTzOKrZdaDVhGyQ,eYHRCo6WQFm4TBWYzAdERg,6Z68pDPOR9K4RYzKB0W/qQ,SystemManagement,LoginLog
3bEr8VmgRNyHf4jNZxfkng,eYHRCo6WQFm4TBWYzAdERg,HTt8ThGSRO2Gisb0ym4XbA,SystemManagement,BusinessDictionary
8L+2C5BIS46eEFN6gZW7cQ,eYHRCo6WQFm4TBWYzAdERg,CLS7/z9CRoqU72vUE7vdGA,SystemManagement,BusinessDictionaryDetail
5a4NhWYQQNWLqWIt3mUVpQ,eYHRCo6WQFm4TBWYzAdERg,39x+H1+ORkq2kagjfYlSgw,SystemManagement,Domain
JJ9uyYnqQK6hePDWkIjixQ,eYHRCo6WQFm4TBWYzAdERg,m2YNsC/+RHOG66TLKjMHlA,SystemManagement,BusinessOptions
RoI7BGV8R2+S2IZ2m0M8EA,eYHRCo6WQFm4TBWYzAdERg,avUSu4oaRnuqAAZ5zXxX9g,SystemManagement,Language
SInuJbrpTLWMLoOqjiQxiA,eYHRCo6WQFm4TBWYzAdERg,K2mq1MJTRdeqyP7f9oFTIQ,SystemManagement,SystemOptions
Soimpmq5RDC7Hjg1zuXrAw,eYHRCo6WQFm4TBWYzAdERg,9mMZgzvwTNWB8glB+h4KFg,SystemManagement,BackgroundTask
UK7TgIn8T461uysUHCLVaw,eYHRCo6WQFm4TBWYzAdERg,vU3glaDcRtSU6zYA02lxbA,SystemManagement,ButtonPermissions
V/McTnfLQeKUWT4vB0Tv2A,eYHRCo6WQFm4TBWYzAdERg,UVFbKnOJRfelRv93YtbqBQ,SystemManagement,SystemDictionary
Wrj/Kri9Ria9eGhcq3zWEA,eYHRCo6WQFm4TBWYzAdERg,PJk939H5R8iY8o+jZ2rQkg,SystemManagement,SystemDictionaryDetail
WMSXOKLvSz+CMBqqwmWQlA,eYHRCo6WQFm4TBWYzAdERg,TO8DBpthSvG2/XDWOwAqtA,SystemManagement,Tenant
YMOpgnucSPiEJz2I+4M+1Q,eYHRCo6WQFm4TBWYzAdERg,1oTQS2N4TsKhvk7Rnq4hAg,SystemManagement,Role
aEjKO5izTXGqcEFnP8SMkQ,eYHRCo6WQFm4TBWYzAdERg,udIlgfLwS4SoJ8ZnLl8CqQ,SystemManagement,DataPermissions
6vXl+8QGTkqwVzCjXUrJuQ,eYHRCo6WQFm4TBWYzAdERg,yOszxpUcTtCwoUZvFeXhow,SystemManagement,FieldPermissions
pax/mMjuQMymz1IOENyQSA,eYHRCo6WQFm4TBWYzAdERg,6ZeQOSTtRpGy+467HJZuBw,,SystemManagement
rILEd6PkTsunYjpHonQ3VA,eYHRCo6WQFm4TBWYzAdERg,URsPZOBmRrCCcqZBI4J3xw,SystemManagement,Organization
sv5BgxBBSrygk0PDpTtWNg,eYHRCo6WQFm4TBWYzAdERg,L+1jMngoQImVmBCHnhcz8A,SystemManagement,Department
