id,role_id,menu_id,tenant_id,order_by
3hlXV2L0eaIJuZlGWFO56J,T/A58UzxTzK0thbZH7aZhw,6ZeQOSTtRpGy+467HJZuBw,ZDbZlC1OT8KaDg6soxMCBQ,10000
oluGM43OrBqbcgFqHLz0yB,T/A58UzxTzK0thbZH7aZhw,LiRTLUICQA2SRlJgYoNmnA,ZDbZlC1OT8KaDg6soxMCBQ,10001
TBc5oZ03rXPnfi58teWMgc,T/A58UzxTzK0thbZH7aZhw,1oTQS2N4TsKhvk7Rnq4hAg,ZDbZlC1OT8KaDg6soxMCBQ,10002
BfB3hoe5A5osew6+m2h8PO,T/A58UzxTzK0thbZH7aZhw,39x+H1+ORkq2kagjfYlSgw,ZDbZlC1OT8KaDg6soxMCBQ,10003
mB7rZbdKeL/ji5YYByaJat,T/A58UzxTzK0thbZH7aZhw,TO8DBpthSvG2/XDWOwAqtA,ZDbZlC1OT8KaDg6soxMCBQ,10031
diyVm3VcmKz+XBdbTnwPX/,T/A58UzxTzK0thbZH7aZhw,AE6NzvHDQ3CSMdhPlSHCdg,ZDbZlC1OT8KaDg6soxMCBQ,10041
+3/hyQNvNM8wVPgZuQojCF,T/A58UzxTzK0thbZH7aZhw,9mMZgzvwTNWB8glB+h4KFg,ZDbZlC1OT8KaDg6soxMCBQ,10043
AWcXhlt1hXVaBisVqDhMSW,T/A58UzxTzK0thbZH7aZhw,K2mq1MJTRdeqyP7f9oFTIQ,ZDbZlC1OT8KaDg6soxMCBQ,10045
0jkxo/8Dn66ppQLCgOIPd8,T/A58UzxTzK0thbZH7aZhw,m2YNsC/+RHOG66TLKjMHlA,ZDbZlC1OT8KaDg6soxMCBQ,10046
kjTltkFa4ItlaF3ZZOcODb,T/A58UzxTzK0thbZH7aZhw,ecLh8jMSQgi3N1qWaWgdsA,ZDbZlC1OT8KaDg6soxMCBQ,10047
VssqKF3XQZyKKYhFdO5YMh,T/A58UzxTzK0thbZH7aZhw,URsPZOBmRrCCcqZBI4J3xw,ZDbZlC1OT8KaDg6soxMCBQ,10048
kmTvAnqzWwhpqITsPoiUSb,T/A58UzxTzK0thbZH7aZhw,L+1jMngoQImVmBCHnhcz8A,ZDbZlC1OT8KaDg6soxMCBQ,10049
f/Regm7fI8AtpcJBOsp8+c,T/A58UzxTzK0thbZH7aZhw,UVFbKnOJRfelRv93YtbqBQ,ZDbZlC1OT8KaDg6soxMCBQ,10051
aTzxebx2ZVyDhkgxVXsord,T/A58UzxTzK0thbZH7aZhw,PJk939H5R8iY8o+jZ2rQkg,ZDbZlC1OT8KaDg6soxMCBQ,10052
7t9VyGaK2kNAPBFs04Kx0n,T/A58UzxTzK0thbZH7aZhw,HTt8ThGSRO2Gisb0ym4XbA,ZDbZlC1OT8KaDg6soxMCBQ,10053
k2WTVAxe89X40YDl0rY32n,T/A58UzxTzK0thbZH7aZhw,CLS7/z9CRoqU72vUE7vdGA,ZDbZlC1OT8KaDg6soxMCBQ,10054
3sA4h6XS/sctnSaVsp1/kM,T/A58UzxTzK0thbZH7aZhw,avUSu4oaRnuqAAZ5zXxX9g,ZDbZlC1OT8KaDg6soxMCBQ,10055
lewEj8OiTKwoE7cR/8pw5t,T/A58UzxTzK0thbZH7aZhw,5lhD4VfTQs2vzkZUx8U+ew,ZDbZlC1OT8KaDg6soxMCBQ,10056
Vypoexd+CHo10BoZ1fl8G9,T/A58UzxTzK0thbZH7aZhw,vU3glaDcRtSU6zYA02lxbA,ZDbZlC1OT8KaDg6soxMCBQ,10057
/XlKMfRioUcgyVOrSbUYY4,T/A58UzxTzK0thbZH7aZhw,udIlgfLwS4SoJ8ZnLl8CqQ,ZDbZlC1OT8KaDg6soxMCBQ,10058
gkXpHoNBT8KfhpYuxs24kc,T/A58UzxTzK0thbZH7aZhw,yOszxpUcTtCwoUZvFeXhow,ZDbZlC1OT8KaDg6soxMCBQ,10059
0NufHfBmMGx/dSrCYOaE7a,T/A58UzxTzK0thbZH7aZhw,6Z68pDPOR9K4RYzKB0W/qQ,ZDbZlC1OT8KaDg6soxMCBQ,10060
LqzvLR+r8JT0Ll7MvEJEPg,T/A58UzxTzK0thbZH7aZhw,BFzmxWyOQp6ynDfWZakidw,ZDbZlC1OT8KaDg6soxMCBQ,10061
hd4WcA9eku0nNKsVTjjEX2,T/A58UzxTzK0thbZH7aZhw,u6u2+OH9QJCw1QTvDvyFVg,ZDbZlC1OT8KaDg6soxMCBQ,10062
